"Instytucja wybierana";"Kod terytorialny";"Nr okręgu";"Liczba mandatów";"Liczba komitetów";"Liczba kandydatów";"Liczba wyborców";"Granice okręgu wyborczego"
"Sejm";"SJM/1";"1";"12";"7";"154";"801989";"Powiaty: bolesławiecki, głogowski, jaworski, jeleniogórski, kamiennogórski, legnicki, lubański, lubiński, lwówecki, polkowicki, zgorzelecki, złotoryjski, Miasta na prawach powiatu: Jelenia Góra, Legnica"
"Sejm";"SJM/2";"2";"8";"7";"109";"557291";"Powiaty: dzierżoniowski, kłodzki, świdnicki, wałbrzyski, ząbkowicki"
"Sejm";"SJM/3";"3";"14";"8";"193";"980670";"Powiaty: górowski, milicki, oleśnicki, oławski, strzeliński, średzki, trzebnicki, wołowski, wrocławski, Miasto na prawach powiatu: Wrocław"
"Sejm";"SJM/4";"4";"12";"8";"187";"812579";"Powiaty: bydgoski, inowrocławski, mogileński, nakielski, sępoleński, świecki, tucholski, żniński, Miasto na prawach powiatu: Bydgoszcz"
"Sejm";"SJM/5";"5";"13";"8";"199";"841167";"Powiaty: aleksandrowski, brodnicki, chełmiński, golubsko-dobrzyński, grudziądzki, lipnowski, radziejowski, rypiński, toruński, wąbrzeski, włocławski, Miasta na prawach powiatu: Grudziądz, Toruń, Włocławek"
"Sejm";"SJM/6";"6";"15";"9";"249";"970089";"Powiaty: janowski, kraśnicki, lubartowski, lubelski, łęczyński, łukowski, opolski, puławski, rycki, świdnicki, Miasto na prawach powiatu: Lublin"
"Sejm";"SJM/7";"7";"12";"8";"180";"782685";"Powiaty: bialski, biłgorajski, chełmski, hrubieszowski, krasnostawski, parczewski, radzyński, tomaszowski, włodawski, zamojski, Miasta na prawach powiatu: Biała Podlaska, Chełm, Zamość"
"Sejm";"SJM/8";"8";"12";"8";"183";"808014";"Województwo lubuskie"
"Sejm";"SJM/9";"9";"10";"9";"163";"669264";"Powiaty: brzeziński, łódzki wschodni, Miasto na prawach powiatu: Łódź"
"Sejm";"SJM/10";"10";"9";"8";"135";"592584";"Powiaty: bełchatowski, opoczyński, piotrkowski, radomszczański, rawski, skierniewicki, tomaszowski, Miasta na prawach powiatu: Piotrków Trybunalski, Skierniewice"
"Sejm";"SJM/11";"11";"12";"10";"200";"794134";"Powiaty: kutnowski, łaski, łęczycki, łowicki, pabianicki, pajęczański, poddębicki, sieradzki, wieluński, wieruszowski, zduńskowolski, zgierski"
"Sejm";"SJM/12";"12";"8";"8";"122";"512929";"Powiaty: chrzanowski, myślenicki, oświęcimski, suski, wadowicki"
"Sejm";"SJM/13";"13";"14";"8";"201";"933615";"Powiaty: krakowski, miechowski , olkuski, Miasto na prawach powiatu: Kraków"
"Sejm";"SJM/14";"14";"10";"9";"157";"604838";"Powiaty: gorlicki, limanowski, nowosądecki, nowotarski, tatrzański, Miasto na prawach powiatu: Nowy Sącz"
"Sejm";"SJM/15";"15";"9";"8";"137";"569156";"Powiaty: bocheński, brzeski, dąbrowski, proszowicki, tarnowski, wielicki, Miasto na prawach powiatu: Tarnów"
"Sejm";"SJM/16";"16";"10";"7";"134";"674762";"Powiaty: ciechanowski, gostyniński, mławski, płocki, płoński, przasnyski, sierpecki, sochaczewski, żuromiński, żyrardowski, Miasto na prawach powiatu: Płock"
